ward,pop_total,pop_0_to_4,pop_5_to_9,pop_10_to_14,avg_hh_income,med_hh_income
Toronto,2761285,123385,128805,131150,121200,84000
1,115120,5755,6160,6585,95200,81000
2,117200,5105,5825,6370,146600,100000
3,139920,6765,6180,5515,127200,90000
4,104715,4770,5015,5230,127200,85000
5,115675,6045,6060,6360,88700,72000
6,107355,5265,5205,5085,107500,82000
7,111200,5785,6205,6780,85700,73000
8,114820,5835,6205,7075,176400,97000
9,104730,4665,4430,4005,107300,85000
10,135400,4420,2765,2085,118200,89000
11,102385,3130,2900,2950,174800,84000
12,114095,4520,4345,4595,160400,86000
13,116930,3720,3135,2455,89400,65000
14,104555,5350,5775,5060,130800,93000
15,101025,4615,5915,6770,224800,102000
16,94335,4600,4755,5225,100300,78500
17,112590,4375,4780,5010,103800,84000
18,117130,4525,4480,4425,106300,81000
19,108500,6035,6455,6195,130600,89000
20,110095,5610,6230,6285,102200,79000
21,111560,5165,5880,5920,91500,78000
22,103690,4000,4480,4815,93000,77000
23,94025,3770,4660,4665,100000,87000
24,102755,5195,5890,6090,92700,78000
25,101485,4365,5080,5590,121800,105000
